fall_id,Status,Waterfall,Access,Country  Rating,Height,State,url,val,Magnitude,Absolute Magnitude,IWC Rating,Global Score,Country Score,State Score,Location,Appx. Elevation,Total Height,Tallest Drop,Num of Drops,Avg. Width,Max. Width,Pitch,Run,Form,Watershed,Stream,Avg.  High  Volume,Avg. Low Volume,Source,Flow Consistency,Best Flow,Avg.  Estm.  Volume,Province Score
6,.Confirmed-row,Crosscut Falls,,,,South Carolina,https://www.worldwaterfalldatabase.com/waterfall/Crosscut-Falls-29630,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,.Confirmed-row,Crossing Falls,,,,South Carolina,https://www.worldwaterfalldatabase.com/waterfall/Crossing-Falls-29631,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,.Confirmed-row,Crossland Creek Falls,,,12 feet / 4 meters,South Carolina,https://www.worldwaterfalldatabase.com/waterfall/Crossland-Creek-Falls-29632,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,4 meters,4 meters,1,,,,,Plunge,,Crossland Creek,,,,,,NA,NA
9,.Confirmed-row,Crow Creek Falls,,,45 feet / 14 meters,Montana,https://www.worldwaterfalldatabase.com/waterfall/Crow-Creek-Falls-10262,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.33867, -111.79292",5663 feet (asl),14 meters,,,,,,,,,Crow Creek,,,,,,NA,NA
10,.Confirmed-row,Crow Creek Falls,,,,North Carolina,https://www.worldwaterfalldatabase.com/waterfall/Crow-Creek-Falls-15686,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.1154, -83.2818",,,,,,,,,,,Crow Creek,,,,,,NA,NA
11,.Confirmed-row,Crow Mountain Creek Falls,,,40 feet / 12 meters,Georgia,https://www.worldwaterfalldatabase.com/waterfall/Crow-Mountain-Creek-Falls-20248,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"34.6966, -83.9399",,12 meters,,2,,,,,,,Crow Mountain Creek,,,,,,NA,NA
12,.Confirmed-row,Crowder Branch Cascade,,,,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Crowder-Branch-Cascade-17889,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.435, -84.0397",,,,2,,,,,,,Crowder Branch,,,,,,NA,NA
13,.Confirmed-row,Crowder Falls,,,"1,320 feet / 402 meters",Washington,https://www.worldwaterfalldatabase.com/waterfall/Crowder-Falls-3032,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.78638, -121.35762",4446 feet (asl),402 meters,,1,,,,,Horsetail,Skagit River,Unnamed,,,Glacier,,,NA,NA
14,.Confirmed-row,Crowe Falls,,,50 feet / 15 meters,Indiana,https://www.worldwaterfalldatabase.com/waterfall/Crowe-Falls-27998,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"38.7119, -85.4663",,15 meters,12 meters,2,,,,,,,,,,,,,NA,NA
15,.Confirmed-row,Crowfoot Falls,,,,Oregon,https://www.worldwaterfalldatabase.com/waterfall/Crowfoot-Falls-18888,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"42.64957, -122.6911",1545 feet (asl),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,.Confirmed-row,Crown Hill Falls,,,18 feet / 5 meters,Ohio,https://www.worldwaterfalldatabase.com/waterfall/Crown-Hill-Falls-28655,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,5 meters,5 meters,1,,,,,Plunge,,,,,,,,NA,NA
17,.Confirmed-row,Crown Point Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Crown-Point-Falls-4794,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.19844, -120.8962",5190 feet (asl),,,1,,,,,Steep Veiling Cascade,Chelan River,Railroad Creek,,,Glacier,,,NA,NA
18,.Confirmed-row,Crystal Basin Falls,,,,California,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Basin-Falls-6394,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"38.86668, -120.21528",7365 feet (asl),,,,,,,,,,South Fork Silver Creek,,,,,,NA,NA
0,.Confirmed-row,Crystal Creek Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Creek-Falls-3339,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.8177, -121.52447",3378 feet (asl),,,,,,,,,Baker River,Crystal Creek,,,,,,NA,NA
1,.Confirmed-row,Crystal Creek Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Creek-Falls-3340,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"47.45201, -120.81085",4563 feet (asl),,,,,,,,,Wenatchee River,Crystal Creek,,,,,,NA,NA
2,.Confirmed-row,Crystal Creek Falls,,,,Arizona,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Creek-Falls-14186,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.1423, -112.237",,,,,,,,,,,Crystal Creek,,,,,,NA,NA
3,.Confirmed-row,Crystal Creek Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Creek-Falls-25652,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.91142, -121.51504",5254 feet (asl),,,,,,,,,,Crystal Creek,,,,,,NA,NA
4,.Confirmed-row,Crystal Falls,,,60 feet / 18 meters,Washington,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Falls-3159,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.51213, -117.65693",2811 feet (asl),18 meters,,2,,,,,Tiered Plunges,Colville River,Little Pend Oreille River,,,,,,NA,NA
5,.Confirmed-row,Crystal Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Falls-4507,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"47.68113, -121.47142",3419 feet (asl),,,,,,,,,Skykomish River,Goat Creek,,,Lake,,,NA,NA
6,.Confirmed-row,Crystal Falls,,,,Colorado,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Falls-8406,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"39.14649, -107.25484",7490 feet (asl),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,.Confirmed-row,Crystal Falls,,,,New York,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Falls-8751,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"43.61501, -75.32781",,,,,,,,,,,Moose River,,,,,,NA,NA
8,.Confirmed-row,Crystal Falls,,,129 feet / 39 meters,Wyoming,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Falls-11919,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.71671, -110.50116",7579 feet (asl),39 meters,,,,,,,,,Cascade Creek,,,,,,NA,NA
9,.Confirmed-row,Crystal Falls,,,,Alaska,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Falls-12482,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"60.45108, -145.84334",254 feet (asl),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,.Confirmed-row,Crystal Falls,,,,Texas,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Falls-16305,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.0387, -101.7644",,,,1,,,,,,,Prarie Dog Town Fork Red River,,,,,,NA,NA
11,.Confirmed-row,Crystal Falls,,,12 feet / 4 meters,Arkansas,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Falls-16440,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"34.8494, -92.953",,4 meters,4 meters,1,,,,,,,,,,,,,NA,NA
12,.Confirmed-row,Crystal Falls,,,20 feet / 6 meters,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Falls-17890,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.5602, -84.7898",,6 meters,6 meters,1,,,,,Plunge,,,,,,,,NA,NA
13,.Confirmed-row,Crystal Falls,,,35 feet / 11 meters,Oregon,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Falls-27789,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,375 feet (asl),11 meters,,,,,,,,,,,,,,,NA,NA
14,.Confirmed-row,Crystal Falls,,,15 feet / 5 meters,Ohio,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Falls-28656,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,5 meters,5 meters,1,,,,,,,,,,,,,NA,NA
15,.Confirmed-row,Crystal Mills Falls,,,,Colorado,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Mills-Falls-22085,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"39.05886, -107.1046",8884 feet (asl),,,,,,,,,,Crystal River,,,,,,NA,NA
16,.Confirmed-row,Crystal Springs Falls,,,,Idaho,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Springs-Falls-3548,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"42.66105, -114.64584",3024 feet (asl),,,,,,,,,Snake River,,,,,,,NA,NA
0,.Confirmed-row,Crystal Veil Falls,,,,California,https://www.worldwaterfalldatabase.com/waterfall/Crystal-Veil-Falls-6492,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.91331, -118.75929",5054 feet (asl),,,,,,,,,,Crystal Creek,,,,,,NA,NA
1,.Confirmed-row,Csonka Falls,,,,Georgia,https://www.worldwaterfalldatabase.com/waterfall/Csonka-Falls-20249,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"32.8667, -84.6996",,,,1,,,,,,,Wolfden Branch,,,,,,NA,NA
2,.Confirmed-row,Cuba Falls,,,,New Hampshire,https://www.worldwaterfalldatabase.com/waterfall/Cuba-Falls-12798,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"43.8773, -71.9989",1650 feet (asl),,,1,,,,,,,Brackett Brook,,,,,,NA,NA
3,.Confirmed-row,Cucumber Falls,,,37 feet / 11 meters,Pennsylvania,https://www.worldwaterfalldatabase.com/waterfall/Cucumber-Falls-18483,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"39.8633, -79.5025",,11 meters,11 meters,1,,,,,Plunge,,Cucumber Run,,,,,,NA,NA
4,.Confirmed-row,Cul-Car-Mac Falls,,,90 feet / 27 meters,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Cul-Car-Mac-Falls-17893,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.9442, -85.7761",,27 meters,27 meters,1,,,,,,,Fall Creek,,,,,,NA,NA
5,.Confirmed-row,Cullasaja Falls,,,180 feet / 55 meters,North Carolina,https://www.worldwaterfalldatabase.com/waterfall/Cullasaja-Falls-15689,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.1167, -83.2697",,55 meters,34 meters,4,,,,,,,Cullasaja River,,,,,,NA,NA
6,.Confirmed-row,Cultus Falls,,,40 feet / 12 meters,Washington,https://www.worldwaterfalldatabase.com/waterfall/Cultus-Falls-3341,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.07493, -121.69598",3098 feet (asl),12 meters,,,,,,,Vertical Curtain,White Salmon River,Cultus Creek,,,Lake,,,NA,NA
7,.Confirmed-row,Cumberland Falls,,89.61,68 feet / 21 meters,Kentucky,https://www.worldwaterfalldatabase.com/waterfall/Cumberland-Falls-14892,NA,108.24,Unavailable,5.6,37.7,89.61,100,"36.8388, -84.3451",,21 meters,21 meters,1,49 meters,79 meters,90 degrees,6 meters,Vertical Block,,Cumberland River,126 cms,26 cms,,,,NA,NA
8,.Confirmed-row,Cumbres Falls,,,100 feet / 30 meters,Colorado,https://www.worldwaterfalldatabase.com/waterfall/Cumbres-Falls-8473,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"37.02528, -106.47048",10044 feet (asl),30 meters,,,,,,,,,,,,,,,NA,NA
9,.Confirmed-row,Cummins Falls,,,75 feet / 23 meters,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Cummins-Falls-17894,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.249, -85.5699",,23 meters,15 meters,2,,,,,,,Blackburn Fork,,,,,,NA,NA
10,.Confirmed-row,Cunningham Falls,,,78 feet / 24 meters,Maryland,https://www.worldwaterfalldatabase.com/waterfall/Cunningham-Falls-8573,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"39.6315, -77.4714",,24 meters,,,,,,,,,Big Hunting Creek,,,,,,NA,NA
11,.Confirmed-row,Cupid Falls,,,,Georgia,https://www.worldwaterfalldatabase.com/waterfall/Cupid-Falls-20250,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"34.9352, -83.8409",,,,1,,,,,,,Corn Creek,,,,,,NA,NA
12,.Confirmed-row,Curt Creek Falls,,,,Arkansas,https://www.worldwaterfalldatabase.com/waterfall/Curt-Creek-Falls-16443,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"34.3482, -93.1156",,,,2,,,,,,,Curt Creek,,,,,,NA,NA
13,.Confirmed-row,Curtain Falls,,,,California,https://www.worldwaterfalldatabase.com/waterfall/Curtain-Falls-6462,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"39.66307, -121.30430",1200 feet (asl),,,,,,,,,,Middle Fork Feather River,,,,,,NA,NA
14,.Confirmed-row,Curtain Falls,,,17 feet / 5 meters,Minnesota,https://www.worldwaterfalldatabase.com/waterfall/Curtain-Falls-28041,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,5 meters,5 meters,1,,,,,,,,,,,,,NA,NA
15,.Confirmed-row,Curtain Falls,,,,West Virginia,https://www.worldwaterfalldatabase.com/waterfall/Curtain-Falls-29941,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,,,1,,,,,Horsetail,,,,,,,,NA,NA
16,.Confirmed-row,Curtis Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Curtis-Falls-2993,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.49961, -121.37981",5432 feet (asl),,,,,,,,,Naches River,Conrad Creek,3 cms,0 cms,Glacier,,,NA,NA
17,.Confirmed-row,Curtis Falls,,,,New York,https://www.worldwaterfalldatabase.com/waterfall/Curtis-Falls-8752,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"43.24673, -73.82768",,,,,,,,,,,Hudson River,,,,,,NA,NA
18,.Confirmed-row,Curtis Glacier Falls,,,200 feet / 61 meters,Washington,https://www.worldwaterfalldatabase.com/waterfall/Curtis-Glacier-Falls-5037,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"48.82618, -121.61657",6249 feet (asl),61 meters,,2,,,,,Tiered Plunges,Baker River,Unnamed,,,Glacier,,,NA,NA
19,.Confirmed-row,Cushing Falls,,,8 feet / 2 meters,Oregon,https://www.worldwaterfalldatabase.com/waterfall/Cushing-Falls-3985,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"45.61167, -121.11972",128 feet (asl),2 meters,,,,,,,,Columbia River (Snake River to Portland),Fifteenmile Creek,,,,,,NA,NA
20,.Confirmed-row,Cushman Crest Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Cushman-Crest-Falls-27644,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,6024 feet (asl),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,.Confirmed-row,Cussgutter Brook Cascades,,,,Connecticut,https://www.worldwaterfalldatabase.com/waterfall/Cussgutter-Brook-Cascades-10574,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"41.6434, -72.9286",,,,,,,,,,,Cussgutter Brook,,,,,,NA,NA
1,.Confirmed-row,Cut Off Falls,,,,Arkansas,https://www.worldwaterfalldatabase.com/waterfall/Cut-Off-Falls-16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,.Confirmed-row,Cuyahoga Falls,,,25 feet / 8 meters,Ohio,https://www.worldwaterfalldatabase.com/waterfall/Cuyahoga-Falls-28658,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,8 meters,,,,,,,,,Cuyahoga River,,,,,,NA,NA
3,.Confirmed-row,Cyan Falls,,,17 feet / 5 meters,Kentucky,https://www.worldwaterfalldatabase.com/waterfall/Cyan-Falls-29070,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"37.2445, -86.1838",,5 meters,5 meters,1,,,,,Horsetail,,,,,,,,NA,NA
4,.Confirmed-row,Cynth Creek Falls,,,,Georgia,https://www.worldwaterfalldatabase.com/waterfall/Cynth-Creek-Falls-26841,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"34.8828, -83.6828",,,,,,,,,,,Cynth Creek,,,,,,NA,NA
5,.Confirmed-row,Cynthia Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Cynthia-Falls-3342,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"45.63423, -122.1066",1690 feet (asl),,,,,,,,Horsetail,Columbia River (Snake River to Portland),Indian Mary Creek,,,Unknown,,,NA,NA
6,.Confirmed-row,Cynthia Falls,,,,Alaska,https://www.worldwaterfalldatabase.com/waterfall/Cynthia-Falls-12423,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"59.78597, -153.21172",703 feet (asl),,,,,,,,,,Hardy Creek,,,,,,NA,NA
7,.Confirmed-row,D.E.W. Falls,,,,North Carolina,https://www.worldwaterfalldatabase.com/waterfall/D.E.W.-Falls-15695,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.0681, -83.0095",,,,1,,,,,,,Gumbottom Creek,,,,,,NA,NA
8,.Confirmed-row,Dagger Falls,,,15 feet / 5 meters,Idaho,https://www.worldwaterfalldatabase.com/waterfall/Dagger-Falls-3560,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.52963, -115.28665",5671 feet (asl),5 meters,,,,,,,,Salmon River,Middle Fork Salmon River,,,,,,NA,NA
9,.Confirmed-row,Dalibarda Falls,,,85 feet / 26 meters,New York,https://www.worldwaterfalldatabase.com/waterfall/Dalibarda-Falls-8969,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"42.69605, -76.40118",,26 meters,,,,,,,,,Dry Creek,,,,,,NA,NA
10,.Confirmed-row,Damariscotta Mills,,,51 feet / 16 meters,Maine,https://www.worldwaterfalldatabase.com/waterfall/Damariscotta-Mills-20444,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.0616, -69.526",,16 meters,,,,,,,,,Damariscotta River,,,,,,NA,NA
11,.Confirmed-row,Damps Mill Falls,,,,Ohio,https://www.worldwaterfalldatabase.com/waterfall/Damps-Mill-Falls-28659,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,,,1,,,,,,,West Branch Rocky River,,,,,,NA,NA
12,.Confirmed-row,Dan Falls,,,,Oregon,https://www.worldwaterfalldatabase.com/waterfall/Dan-Falls-4303,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.85215, -122.3388",2209 feet (asl),,,,,,,,,Santiam River,Henline Creek,,,,,,NA,NA
13,.Confirmed-row,Daniel Boone Cave Falls,,,,Kentucky,https://www.worldwaterfalldatabase.com/waterfall/Daniel-Boone-Cave-Falls-29071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,.Confirmed-row,Daniel Boone Falls,,,,Kentucky,https://www.worldwaterfalldatabase.com/waterfall/Daniel-Boone-Falls-29072,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"37.8176, -84.7072",,,,1,,,,,Steep Cascade,,,,,,,,NA,NA
15,.Confirmed-row,Daniel Creek Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Daniel-Creek-Falls-7297,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"47.57679, -121.14694",4233 feet (asl),,,,,,,,,,Daniel Creek,,,,,,NA,NA
16,.Confirmed-row,Daniel Falls,,,,South Carolina,https://www.worldwaterfalldatabase.com/waterfall/Daniel-Falls-29634,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,.Confirmed-row,Daniel Glacier Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Daniel-Glacier-Falls-3343,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"47.57161, -121.16276",5615 feet (asl),,,,,,,,Segmented Plunges,Yakima River,Daniel Creek,,,Glacier,,,NA,NA
18,.Confirmed-row,Daniel Ridge Falls,,,120 feet / 37 meters,North Carolina,https://www.worldwaterfalldatabase.com/waterfall/Daniel-Ridge-Falls-15691,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.2887, -82.8271",,37 meters,,,,,,,,,Toms Spring Branch,,,,,,NA,NA
0,.Confirmed-row,Daniels Cove Creek Falls,,,,North Carolina,https://www.worldwaterfalldatabase.com/waterfall/Daniels-Cove-Creek-Falls-15692,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"35.36, -82.8393",,,,,,,,,,,Daniels Cove Creek,,,,,,NA,NA
1,.Confirmed-row,DAR Shoals,,,,South Carolina,https://www.worldwaterfalldatabase.com/waterfall/DAR-Shoals-29635,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,,3 meters,,,,,,,,Flat Shoals River,,,,,,NA,NA
2,.Confirmed-row,Darbytown Falls,,,120 feet / 37 meters,Pennsylvania,https://www.worldwaterfalldatabase.com/waterfall/Darbytown-Falls-18484,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"41.60661, -75.07666",,37 meters,,,,,,,Tiered Horsetails,,Delaware River,,,,,,NA,NA
3,.Confirmed-row,Dargans Cascade,,,25 feet / 8 meters,South Carolina,https://www.worldwaterfalldatabase.com/waterfall/Dargans-Cascade-29636,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,8 meters,,,,,,,,,Middle Saluda River,,,,,,NA,NA
4,.Confirmed-row,Darius Creek Falls,,,,Oregon,https://www.worldwaterfalldatabase.com/waterfall/Darius-Creek-Falls-4701,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"43.48194, -123.94667",905 feet (asl),,,,,,,,,Coos Bay,Darius Creek,,,,,,NA,NA
5,.Confirmed-row,Dark Creek Falls,,,,Washington,https://www.worldwaterfalldatabase.com/waterfall/Dark-Creek-Falls-9679,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.30071, -121.75018",3250 feet (asl),,,,,,,,,,Dark Creek,,,,,,NA,NA
6,.Confirmed-row,Dark Hollow Falls,,,145 feet / 44 meters,Virginia,https://www.worldwaterfalldatabase.com/waterfall/Dark-Hollow-Falls-16911,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"38.5187, -78.4234",,44 meters,23 meters,3,,,,,,,Hogcamp Branch,,,,,,NA,NA
7,.Confirmed-row,Dark Hollow Falls,,,,Kentucky,https://www.worldwaterfalldatabase.com/waterfall/Dark-Hollow-Falls-29074,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"38.3673, -83.1298",,,,,,,,,,,Dark Hollow,,,,,,NA,NA
8,.Confirmed-row,Darnell Falls,,,30 feet / 9 meters,Georgia,https://www.worldwaterfalldatabase.com/waterfall/Darnell-Falls-20251,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"34.9587, -83.3549",,9 meters,9 meters,1,,,,,Horsetail,,Darnell Creek,,,,,,NA,NA
9,.Confirmed-row,Darwin Falls,,,25 feet / 8 meters,California,https://www.worldwaterfalldatabase.com/waterfall/Darwin-Falls-6680,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.32079, -117.52457",2803 feet (asl),8 meters,,,,,,,,,,,,,,,NA,NA
10,.Confirmed-row,Dashing Falls,,,25 feet / 8 meters,Wyoming,https://www.worldwaterfalldatabase.com/waterfall/Dashing-Falls-11921,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.40675, -110.83729",7805 feet (asl),8 meters,,,,,,,,,,,,,,,NA,NA
11,.Confirmed-row,Daults Falls,,,20 feet / 6 meters,Michigan,https://www.worldwaterfalldatabase.com/waterfall/Daults-Falls-13127,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"46.7107, -88.4228",,6 meters,,2,,,,,,,Daults Creek,,,,,,NA,NA
12,.Confirmed-row,Dave Branch Falls,,,,Kentucky,https://www.worldwaterfalldatabase.com/waterfall/Dave-Branch-Falls-29075,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.9704, -84.2763",,,,1,,,,,Steep Cascade,,Dave Branch,,,,,,NA,NA
13,.Confirmed-row,Dave Falls,,,,Oregon,https://www.worldwaterfalldatabase.com/waterfall/Dave-Falls-4302,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"44.85303, -122.33855",2299 feet (asl),,,,,,,,,Santiam River,Henline Creek,,,,,,NA,NA
14,.Confirmed-row,Dave Falls,,,40 feet / 12 meters,Tennessee,https://www.worldwaterfalldatabase.com/waterfall/Dave-Falls-17897,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,"36.313, -85.5048",,12 meters,,,,,,,,,,,,,,,NA,NA
15,.Confirmed-row,Daves Falls,,,15 feet / 5 meters,Wisconsin,https://www.worldwaterfalldatabase.com/waterfall/Daves-Falls-28274,NA,Unavailable,Unavailable,Unavailable,Not Rated,Not Rated,Not Rated,Unavailable,,5 meters,5 meters,1,,,,,,,Pike River,,,,,,NA,NA
